"question","tag"
"নামজারি মামলা নামঞ্জুর হলে কি করবো?","namjari_rejected_appeal"
"নামজারি মামলা নামঞ্জুর হয়েছে কোন আদালতে যাবো?","namjari_rejected_appeal"
"নামঞ্জুর হলে আবার কি আবেদন করবো?","namjari_rejected_appeal"
"এসি (ল্যান্ড) শুনানী না নিয়ে নামঞ্জুর করেছেন?","namjari_rejected_appeal"
"নামজারি মামলাটা নামঞ্জুর হলে আপিল কিভাবে করবো?","namjari_rejected_appeal"
"নামজারি নামঞ্জুর হলে কোন অফিসে আপিল দিতে হয়?","namjari_rejected_appeal"
"আপিলের সময়সীমা কতদিন, ৩০ দিন নাকি তার বেশি?","namjari_rejected_appeal"
"কোন কোন কাগজপত্র লাগবে আপিলের সাথে?","namjari_rejected_appeal"
"আপিল ফি কত পড়ে এবং কোথায় জমা দেবো?","namjari_rejected_appeal"
"অনলাইনে নামজারি আপিল করা যাবে নাকি সরাসরি যেতে হবে?","namjari_rejected_appeal"
"আপিল করলে আবার শুনানি হবে তো?","namjari_rejected_appeal"
"এসি (ল্যান্ড) যদি কারণ ছাড়া নামঞ্জুর করেন, কী করবো?","namjari_rejected_appeal"
"শুনানির নোটিশ না দিয়ে নামঞ্জুর করলে আপিল নেব কিভাবে?","namjari_rejected_appeal"
"নামঞ্জুরের আদেশের কপি কিভাবে পাবো?","namjari_rejected_appeal"
"আদেশের কপি না পেলে আপিলের সময় কিভাবে গণনা হবে?","namjari_rejected_appeal"
"নতুন করে আবেদন করবো নাকি সরাসরি আপিল করবো?","namjari_rejected_appeal"
"আপিল আর রিভিশনের মধ্যে পার্থক্য কী?","namjari_rejected_appeal"
"আপিল না রিভিশন—কোনটা আগে করবো?","namjari_rejected_appeal"
"নামজারি বিষয়ে রিভিশন কোন কর্তৃপক্ষের কাছে করা যায়?","namjari_rejected_appeal"
"আপিলের খসড়া আবেদনপত্র কিভাবে লিখবো?","namjari_rejected_appeal"
"নামজারি নামঞ্জুরের কারণ জানতে চাইলে কোথায় যোগাযোগ করবো?","namjari_rejected_appeal"
"ভুল ঠিকানায় নোটিশ গিয়ে নামঞ্জুর হলে কীভাবে ঠিক করবো?","namjari_rejected_appeal"
"ওয়ারিশ নামজারি নামঞ্জুর হলে কোন কোন কাগজ বাড়তি লাগবে?","namjari_rejected_appeal"
"দলিল ঠিক থাকলেও নামঞ্জুর—এক্ষেত্রে কী করণীয়?","namjari_rejected_appeal"
"প্রতিপক্ষ হাজির না থেকেও নামঞ্জুর—এটা কি চ্যালেঞ্জ করা যায়?","namjari_rejected_appeal"
"আপিল করলে আগের আদেশ স্থগিত থাকবে কি?","namjari_rejected_appeal"
"স্টে অর্ডার কিভাবে নেবো নামজারি আপিলে?","namjari_rejected_appeal"
"আপিলে আইনজীবী লাগবে নাকি নিজেই করতে পারি?","namjari_rejected_appeal"
"আপিলের শুনানিতে কী কী প্রশ্ন আসতে পারে?","namjari_rejected_appeal"
"আপিলের পর সিদ্ধান্ত পেতে কতদিন লাগে?","namjari_rejected_appeal"
"মামলার ফাইল দেখতে চাই—কোথায় দেখবো?","namjari_rejected_appeal"
