"question","tag"
"শুনানীর জন্য সব কাগজ কি নিয়ে যেতে হবে?","namjari_hearing_documents"
"শুনানীর জন্য কি কি কাগজপত্র নিয়ে যাবো?","namjari_hearing_documents"
"শুনানীর সময় কি আবেদনকারীকেই যেতে হবে?","namjari_hearing_documents"
"শুনানীতে সকল আবেদনকারীকে যেতে হবে নাতো?","namjari_hearing_documents"
"শুনানির দিনে কোন কোন কাগজপত্র অবশ্যই নিতে হবে?","namjari_hearing_documents"
"আসল কাগজ লাগবে নাকি ফটোকপি দিলেই হবে?","namjari_hearing_documents"
"কত কপি ফটোকপি নিয়ে গেলে ভালো?","namjari_hearing_documents"
"কাগজপত্র কি আগে থেকে সত্যায়িত করতে হবে?","namjari_hearing_documents"
"নামজারি শুনানিতে জমির দলিলের আসলটা দেখাতে হবে তো?","namjari_hearing_documents"
"খাজনা রশিদ না থাকলে কি শুনানিতে সমস্যা হবে?","namjari_hearing_documents"
"পর্চা আর খতিয়ানের কোন কপি নিতে হবে?","namjari_hearing_documents"
"শুনানির জন্য কী কী আইডি কার্ড সঙ্গে রাখতে হবে?","namjari_hearing_documents"
"আবেদনপত্রের রিসিপ্ট বা ট্র্যাকিং স্লিপ কি দেখাতে হয়?","namjari_hearing_documents"
"এসএমএস নোটিশ দেখালেই হবে নাকি প্রিন্ট নিতে হবে?","namjari_hearing_documents"
"অনলাইনের প্রিন্টেড নথি কি গ্রহণ করবে?","namjari_hearing_documents"
"কিভাবে কাগজগুলো ফাইল করে সাজিয়ে নিয়ে যাবো?","namjari_hearing_documents"
"আলাদা ফোল্ডার বা ফাইল কভার নিতে হবে নাকি?","namjari_hearing_documents"
"অফিসে কি কাগজগুলো জমা দিতে হবে নাকি শুধু দেখালেই চলবে?","namjari_hearing_documents"
"তারা কি আসল কাগজ রেখে দেয় নাকি কপি রাখে?","namjari_hearing_documents"
"শুনানির ঘরে কাগজ জমা কোথায় করতে হয়?","namjari_hearing_documents"
"কাগজ জমা দেওয়ার আগে কোনো ফি দিতে হয় নাকি?","namjari_hearing_documents"
"কারো নাম ভুল থাকলে হলফনামা নিয়ে গেলে হবে?","namjari_hearing_documents"
"হলফনামা কি নোটারি করে নিতে হবে?","namjari_hearing_documents"
"নাম-মিল না হলে কি অতিরিক্ত কোনো ডকুমেন্ট চাইবে?","namjari_hearing_documents"
"সব আবেদনকারীর এনআইডির কপি কি লাগবে?","namjari_hearing_documents"
"যৌথ জমিতে সহ-অধিকারীদের কাগজপত্রও কি নিতে হবে?","namjari_hearing_documents"
"আবেদনকারী না গেলে কি অথরাইজেশন লেটার লাগবে?","namjari_hearing_documents"
"পাওয়ার অব অ্যাটর্নি থাকলে কোন কাগজ দেখাতে হবে?","namjari_hearing_documents"
