question,tag,answer,needs_context
আমার বাবা গত বছর মারা গেছেন। এখন তার নামে যে জমি আছে সেটা আমার নামে করতে চাই। নামজারির প্রক্রিয়া কী? কোথায় গিয়ে কী করতে হবে?,namjari_application_procedure,"আপনার মোবাইলে বা ল্যাপটপে বা কম্পিউটারে ইন্টারনেট থাকলে আপনি নিজেই পারবেন, আর যদি না থাকে তবে ভূমি সহায়তা কেন্দ্র বা তেজগাঁওয়ে ভূমি ভবনে ভূমি সেবা কেন্দ্রে বা আপনার নিকটস্থ দোকানে কম্পিউটারে সরকারি সেবা নিয়ে কাজ করে সেখানে করাতে পারেন।",
আমি একটা জমি কিনেছি। রেজিস্ট্রিও করে ফেলেছি। কিন্তু এখন আমার বন্ধু বলছে নামজারি করতে হবে। আসলে এই নামজারি কী জিনিস? এটা কেন করতে হয়?,namjari_application_procedure,"আপনার মোবাইলে বা ল্যাপটপে বা কম্পিউটারে ইন্টারনেট থাকলে আপনি নিজেই পারবেন, আর যদি না থাকে তবে ভূমি সহায়তা কেন্দ্র বা তেজগাঁওয়ে ভূমি ভবনে ভূমি সেবা কেন্দ্রে বা আপনার নিকটস্থ দোকানে কম্পিউটারে সরকারি সেবা নিয়ে কাজ করে সেখানে করাতে পারেন।",
আমার দাদার মৃত্যুর পর আমার বাবা মারা গেছেন। এখন আমরা ৩ ভাইবোন আছি। জমিটা আমাদের নামে করতে হবে। নামজারি করার জন্য কোন কোন কাগজপত্র লাগবে?,namjari_inheritance_documents,"মূল মালিকের মৃত্যুর পরে তার ওয়ারিশগণের নামে নামজারি করতে যদি একটি খতিয়ানে সকল ওয়ারিশদের নাম রাখা হয় তবে রেজিস্টার্ড বন্টননামা লাগবে না, যদি একাধিক ওয়ারিশানদের নামে পৃথক খতিয়ান করতে চায় সেক্ষেত্রে রেজিস্টার্ড বন্টননামা লাগবে। এছাড়া হাল ওয়াশিাননামা, মূল মালিকের খতিয়ানের বা নামজারি খতিয়ানের কপি, সকলের ছবি ও এনআইডি লাগবে।",
"আমার মা মারা গেছেন। তার নামে একটা জমি ছিল। এখন আমার বাবা, আমি আর আমার দুই বোন আছি। ওয়ারিশ হিসেবে আমাদের নামজারি করতে কী কী ডকুমেন্ট দরকার?",namjari_inheritance_documents,"মূল মালিকের মৃত্যুর পরে তার ওয়ারিশগণের নামে নামজারি করতে যদি একটি খতিয়ানে সকল ওয়ারিশদের নাম রাখা হয় তবে রেজিস্টার্ড বন্টননামা লাগবে না, যদি একাধিক ওয়ারিশানদের নামে পৃথক খতিয়ান করতে চায় সেক্ষেত্রে রেজিস্টার্ড বন্টননামা লাগবে। এছাড়া হাল ওয়াশিাননামা, মূল মালিকের খতিয়ানের বা নামজারি খতিয়ানের কপি, সকলের ছবি ও এনআইডি লাগবে।",
"আদাব ভাইজান। আমি গত সপ্তাহে ভূমি অফিসে গিয়েছিলাম একটা কাজে। সেখানে অনেক ভিড় ছিল, আমার নাম্বার আসেই নাই। যাইহোক, আমার বাবার নামে একটা জমি আছে। উনি ২ বছর আগে মারা গেছেন। আমার মা, আমি, আর আমার দুই বোন আছি। এখন আমাদের কী কী কাগজপত্র লাগবে নামজারির জন্য? কেউ কিছু বলতে পারেন?",namjari_inheritance_documents,"মূল মালিকের মৃত্যুর পরে তার ওয়ারিশগণের নামে নামজারি করতে যদি একটি খতিয়ানে সকল ওয়ারিশদের নাম রাখা হয় তবে রেজিস্টার্ড বন্টননামা লাগবে না, যদি একাধিক ওয়ারিশানদের নামে পৃথক খতিয়ান করতে চায় সেক্ষেত্রে রেজিস্টার্ড বন্টননামা লাগবে। এছাড়া হাল ওয়াশিাননামা, মূল মালিকের খতিয়ানের বা নামজারি খতিয়ানের কপি, সকলের ছবি ও এনআইডি লাগবে।",
"আরে ভাই, আমার একটা ঝামেলা হয়েছে। আমার নানার মৃত্যুর পরে আমার মামা আছেন, আমার মা আছেন। এখন নানার জমি নিয়ে আমাদের নামজারি করতে হবে। কিন্তু আমি জানি না কোন কাগজপত্র লাগবে। ওয়ারিশদের জন্য বিশেষ কোনো ডকুমেন্ট লাগে?",namjari_inheritance_documents,"মূল মালিকের মৃত্যুর পরে তার ওয়ারিশগণের নামে নামজারি করতে যদি একটি খতিয়ানে সকল ওয়ারিশদের নাম রাখা হয় তবে রেজিস্টার্ড বন্টননামা লাগবে না, যদি একাধিক ওয়ারিশানদের নামে পৃথক খতিয়ান করতে চায় সেক্ষেত্রে রেজিস্টার্ড বন্টননামা লাগবে। এছাড়া হাল ওয়াশিাননামা, মূল মালিকের খতিয়ানের বা নামজারি খতিয়ানের কপি, সকলের ছবি ও এনআইডি লাগবে।",
"ভাই আমার বাবার বৈমাত্রেয় ভাই আছেন। আমার দাদা মারা যাওয়ার পর বাবা মারা গেছেন। এখন আমরা সব ভাইবোনরা আছি, আর ঐ কাকা আছেন। ওয়ারিশসূত্রে নামজারির জন্য কী কী ডকুমেন্ট লাগবে? সবার সম্মতি লাগবে?",namjari_inheritance_documents,"মূল মালিকের মৃত্যুর পরে তার ওয়ারিশগণের নামে নামজারি করতে যদি একটি খতিয়ানে সকল ওয়ারিশদের নাম রাখা হয় তবে রেজিস্টার্ড বন্টননামা লাগবে না, যদি একাধিক ওয়ারিশানদের নামে পৃথক খতিয়ান করতে চায় সেক্ষেত্রে রেজিস্টার্ড বন্টননামা লাগবে। এছাড়া হাল ওয়াশিাননামা, মূল মালিকের খতিয়ানের বা নামজারি খতিয়ানের কপি, সকলের ছবি ও এনআইডি লাগবে।",
"নমস্কার ভাইজান। আমি গত মাসে নামজারির আবেদন করেছি অনলাইনে। কিন্তু এখনো কোনো খবর পাইনি মোবাইলেও না, ইমেইলেও না। অফিসে ফোন করলেও কেউ সঠিক তথ্য দেয় না। আমি জানতে চাই যে আমার আবেদনটা এখন কোন পর্যায়ে আছে। কীভাবে আমি এটার স্ট্যাটাস চেক করতে পারি? অনলাইনে কি কোনো সিস্টেম আছে?",namjari_status_check,"নামজারি মামলার অগ্রগতি জানতে  land,gov,bd তে প্রবেশ করে আবেদন অবস্থা বাটনে ক্লিক করে তথ্য দিলে আপনি মামলঅর অবস্ধা জানতে পারবেন।",
ভাই আমার একটা সমস্যা। আমি ৩ মাস আগে নামজারির আবেদন করেছি কিন্তু এখনো কোনো উত্তর পাইনি। এমনকি কোনো নোটিশও আসেনি। আমি জানতে চাই আমার আবেদনটা কোথায় আটকে আছে। কীভাবে স্ট্যাটাস দেখব? কোনো ওয়েবসাইট আছে?,namjari_status_check,"নামজারি মামলার অগ্রগতি জানতে  land,gov,bd তে প্রবেশ করে আবেদন অবস্থা বাটনে ক্লিক করে তথ্য দিলে আপনি মামলঅর অবস্ধা জানতে পারবেন।",
"আমার নামজারি আবেদনের কোনো উত্তর পাচ্ছি না, আমি কী করব? গত ৪ মাস ধরে অপেক্ষা করছি কিন্তু কিছুই হচ্ছে না। আমি কীভাবে বুঝব যে কাজটা এগিয়ে চলেছে নাকি আটকে আছে? কোনো উপায় আছে চেক করার?",namjari_status_check,"নামজারি মামলার অগ্রগতি জানতে  land,gov,bd তে প্রবেশ করে আবেদন অবস্থা বাটনে ক্লিক করে তথ্য দিলে আপনি মামলঅর অবস্ধা জানতে পারবেন।",
