question,expected_tag,expected_answer,needs_context
"সালাম ভাই, আমি একটা সমস্যায় পড়েছি। আমার দাদা মারা গেছেন অনেকদিন হলো, তারপর আমার বাবাও গত বছর মারা গেছে। এখন আমি শুনেছি জমিজমা নিয়ে কিছু একটা করতে হয়। আমার ভাই বলছে নামজারি করতে হবে। আসলে এই নামজারি জিনিসটা কী? আমি কিছুই বুঝি না।",namjari_application_procedure,"আপনার মোবাইলে বা ল্যাপটপে বা কম্পিউটারে ইন্টারনেট থাকলে আপনি নিজেই পারবেন, আর যদি না থাকে তবে ভূমি সহায়তা কেন্দ্র বা তেজগাঁওয়ে ভূমি ভবনে ভূমি সেবা কেন্দ্রে বা আপনার নিকটস্থ দোকানে কম্পিউটারে সরকারি সেবা নিয়ে কাজ করে সেখানে করাতে পারেন।",False
"আদাব ভাই। আমি গত সপ্তাহে ভূমি অফিসে গিয়েছিলাম। সেখানে অনেক ভিড় ছিল, আমার নাম্বার আসেই নাই। যাইহোক, আমার বাবার নামে একটা জমি আছে। উনি ২ বছর আগে মারা গেছেন। আমার মা, আমি, আর আমার দুই বোন আছি। এখন আমাদের কী কী কাগজপত্র লাগবে নামজারির জন্য? কেউ কিছু বলতে পারেন?",namjari_inheritance_documents,"মূল মালিকের মৃত্যুর পরে তার ওয়ারিশগণের নামে নামজারি করতে যদি একটি খতিয়ানে সকল ওয়ারিশদের নাম রাখা হয় তবে রেজিস্টার্ড বন্টননামা লাগবে না, যদি একাধিক ওয়ারিশানদের নামে পৃথক খতিয়ান করতে চায় সেক্ষেত্রে রেজিস্টার্ড বন্টননামা লাগবে। এছাড়া হাল ওয়াশিাননামা, মূল মালিকের খতিয়ানের বা নামজারি খতিয়ানের কপি, সকলের ছবি ও এনআইডি লাগবে।",False
হ্যালো। আচ্ছা আমি একটা জিনিস জানতে চাই। আমি মাস ছয়েক আগে একটা জমি কিনেছি। দাম দিয়েছি ৫ লাখ টাকা। রেজিস্ট্রিও করে ফেলেছি। কিন্তু এখন আমার এক বন্ধু বলছে যে নামজারি না করলে সমস্যা হতে পারে। আসলে রেজিস্ট্রি আর নামজারি কি আলাদা জিনিস? আমার কি আর কিছু করার আছে?,namjari_application_procedure,"আপনার মোবাইলে বা ল্যাপটপে বা কম্পিউটারে ইন্টারনেট থাকলে আপনি নিজেই পারবেন, আর যদি না থাকে তবে ভূমি সহায়তা কেন্দ্র বা তেজগাঁওয়ে ভূমি ভবনে ভূমি সেবা কেন্দ্রে বা আপনার নিকটস্থ দোকানে কম্পিউটারে সরকারি সেবা নিয়ে কাজ করে সেখানে করাতে পারেন।",False
"ভাই আমি খুব চিন্তায় আছি। আমার একটা সমস্যা হইছে। আমার মামা আমেরিকায় থাকেন। তিনি অনেক বছর ধরে সেখানেই আছেন। এখন তার বাবার, মানে আমার নানার, একটা জমি আছে। নানা মারা গেছেন। এখন কী করা যায়? আমার মামা তো দেশে আসতে পারবেন না। আমি কি তার হয়ে নামজারির কাজ করতে পারব?",namjari_by_representative,"প্রতিনিধি দিয়ে নামজারির আবেদন করা যায়, তবে প্রতিনিধির প্রমান হিসাবে অথোরাইজেসন পত্র বা ক্ষমতা অর্পনের পত্র দিতে হয়। প্রতিনিধির নামে নামজারি হয় না , শুধু তিনি আবেদনকারী থাকেন। তবে নিজে নিজেই নামজারি আবেদন করা উত্তম।",False
নমস্কার। আমি গত মাসে নামজারির আবেদন করেছি। কিন্তু এখনো কোনো খবর পাইনি। অফিসে ফোন করলেও কেউ সঠিক তথ্য দেয় না। আমি জানতে চাই যে আমার আবেদনটা এখন কোন পর্যায়ে আছে। কীভাবে আমি এটার স্ট্যাটাস চেক করতে পারি? অনলাইনে কি কোনো সিস্টেম আছে?,namjari_status_check,"নামজারি মামলার অগ্রগতি জানতে  land,gov,bd তে প্রবেশ করে আবেদন অবস্থা বাটনে ক্লিক করে তথ্য দিলে আপনি মামলঅর অবস্ধা জানতে পারবেন।",False
"আসসালামু আলাইকুম ভাই। আমার একটা জরুরি জিনিস জানার ছিল। কাল আমার ফোনে একটা কল এসেছিল। বলেছে আমার নামজারির শুনানি আছে পরশু। কিন্তু আমি বুঝতে পারছি না কী কী কাগজ নিয়ে যেতে হবে। আমার কাছে দলিল আছে, খতিয়ানের কপি আছে। আর কী কী লাগতে পারে?",namjari_hearing_documents,"শুনানীর সময় যে সব কাগজাদি আপলোড করা হয়েছে , আবেদনকারী নিজে বা তার পক্ষে যে কাগজাদি বোঝে এমন কাউকে সব কাগজাদি নিয়ে যেতে হবে। অন্য কোন প্রয়োজনীয় কাগজাদি থাকলে তাও নেয়া ভাল।",False
ভাই সাহায্য লাগবে। আমি নামজারির আবেদন করেছিলাম ৩ মাস আগে। গতকাল একটা চিঠি এসেছে যেখানে লেখা আছে 'খারিজ'। আমি বুঝতে পারছি না এর মানে কী। আমার কি আবেদনটা বাতিল হয়ে গেছে? এখন আমি কী করতে পারি? নতুন করে আবেদন করতে হবে নাকি কোনো আপিল করা যাবে?,namjari_rejected_appeal,"এসি ল্যান্ড নামজারি না মঞ্জুর করলে এসি (ল্যান্ড) এর নিকট ১৫০ ধারায় রিভিউ বা অতিরিক্ত জেলা প্রশাসক (রাজস্ব) এর নিকট আপিল করা যায়। মনে রাখতে হবে, একবার নামজারি নামঞ্জুর হলে দ্বিতীয় বার আবেদন করা যায় না আবার রিভিউ নামঞ্জুর হলে আপিল করা যায় না।",False
আদাব। আমার একটা সমস্যা আছে। আমার খতিয়ানের কপিতে আমার বাবার নামটা ভুল লেখা আছে। আসল নাম 'আব্দুর রহমান' কিন্তু লেখা আছে 'আব্দুর রহিম'। এছাড়া দাগ নম্বরটাও মনে হচ্ছে ঠিক নাই। আমি কীভাবে এগুলো ঠিক করতে পারি? কোথায় যেতে হবে?,namjari_khatian_correction,নামজারি মঞ্জুর হয়েছে খতিয়ানে যে কোন ভুলের জন্য আপনি আপনার প্রোফাইল হতে সংশোধন বাটনে ক্লিক করে তথ্য দিয়ে সংশোধনের আবেদন করতে পারবেন এবং এসি (ল্যান্ড) মঞ্জুর করলে আপনি সংশোধিত খতিয়ান পাবেন।,False
"হ্যালো ভাইয়া। আমি একটা জিনিস জানতে চাই। আমার দরকার নতুন খতিয়ানের কপি। পুরানটা অনেক দিনের, আর একটু ছিড়ে গেছে। আমি শুনেছি তহশিল অফিস থেকে পাওয়া যায়। কিন্তু আমি জানি না ঠিক কোন প্রক্রিয়া। কীভাবে খতিয়ানের কপি সংগ্রহ করতে পারি?",namjari_khatian_copy,নামজারি মহ্জুর হলে আপনার মোবাইলে ১১০ টাকা জমা দেবার জন্য মেসেজ গেলে আপনি আপনার প্রোফইল হতে টাকা জমা দিলে আপনার নামে ডিসিআর ও খতিয়ান প্রস্তুত হয়ে আপনার প্রোফাইলে জমা থাকবে। আপনি আপনার মন মতো সময়ে তা প্রিন্ট নিতে পারবেন ও তা অনলাইনেও দেখাবে।,False
"ভাই আমি অনেক সমস্যায় আছি। আমি গরিব মানুষ, বেশি টাকা নেই। কিন্তু আমার বাবার একটা জমি আছে যেটা আমার নামে করতে হবে। গ্রামের লোকেরা বলছে নামজারি করতে অনেক টাকা লাগে। আসলে কত টাকা খরচ হতে পারে? সরকারি কোনো ফি আছে কি?",namjari_fee,"নামজারি করতে সরকারি ফি মোট ১১৭০/ টাকা। প্রতিটি নামচারির জন্য প্রথমে ২০/ টাকা কোর্ট ফি, পরে ফরম দিাখির করলে ৫০/ টাকা নোটিশ জারি ফি এবং নামজারি মঞ্জুর হলে এর ফি বাবদ ডিসিআরএর জন্য  ১১০০/ টাকা দেয় লাগে। আর কোন টাকা দেয়া লাগে না।",False
