"question","tag"
"নামজারির সরকারি ফি কত?","namjari_fee"
"নামজারি করতে কত টাকা লাগে?","namjari_fee"
"নামজারি করতে কত খরচ হবে?","namjari_fee"
"একাধিক আবেদনের জন্য কি বেশি টাকা লাগে?","namjari_fee"
"নামজারি করতে মোট কত ফি ধরতে হবে?","namjari_fee"
"নামজারির ফি কিভাবে হিসাব করা হয়?","namjari_fee"
"নামজারির জন্য আলাদা কোন প্রসেসিং ফি আছে নাকি?","namjari_fee"
"আবেদন জমা দেয়ার সময়ই কি ফি দিতে হয়?","namjari_fee"
"ফাইল সাবমিটের পরে ফি দিলে হবে কি?","namjari_fee"
"অনলাইনে নামজারি ফি কিভাবে পরিশোধ করব?","namjari_fee"
"ট্রেজারি চালান কই জমা দিতে হয়?","namjari_fee"
"ব্যাংকে কোন শাখায় নামজারি ফি নেয়?","namjari_fee"
"বিকাশ বা নগদে নামজারি ফি দেয়া যায়?","namjari_fee"
"ফি দেওয়ার রসিদ কোথায় থেকে পাব?","namjari_fee"
"নামজারির ফি কি সারা দেশে এক?","namjari_fee"
"ঢাকায় আর জেলায় ফি কি আলাদা?","namjari_fee"
"মিউটেশনের ফি আর নামজারি ফি কি একই?","namjari_fee"
"উত্তরাধিকারসূত্রে নামজারি করলে ফি কত পড়ে?","namjari_fee"
"হস্তান্তর ভিত্তিতে নামজারির ফি কিভাবে নির্ধারিত হয়?","namjari_fee"
"এক প্লটের বদলে একাধিক প্লট হলে ফি বেশি লাগে?","namjari_fee"
"একসাথে একাধিক আবেদনে ফি কি আলাদাভাবে দিতে হবে?","namjari_fee"
"নামজারি ফি কি ডেসিমেল অনুযায়ী বাড়ে?","namjari_fee"
"গ্রাম আর সিটি করপোরেশন এলাকায় ফি কি ভিন্ন?","namjari_fee"
"কাগজপত্র যাচাইয়ের জন্য কি অতিরিক্ত চার্জ আছে?","namjari_fee"
"নামজারির ফরমের মূল্য কত?","namjari_fee"
"স্ট্যাম্প পেপারের খরচ কি আলাদা করে ধরতে হবে?","namjari_fee"
"সরকারি ভ্যাট বা ট্যাক্স কেন ফিতে যোগ হয়?","namjari_fee"
"ফি জমা না দিলে আবেদন কি আটকে যাবে?","namjari_fee"
"ফি নিয়ে কোন রসিদ না পেলে কী করব?","namjari_fee"
"ভুল করে বেশি ফি দিলে ফেরত পাওয়া যাবে?","namjari_fee"
"আবেদন বাতিল হলে ফি কি রিফান্ড হয়?","namjari_fee"
"সময়মতো ফি না দিলে কি জরিমানা লাগে?","namjari_fee"
"দেরিতে ফি দিলে কত পেনাল্টি পড়ে?","namjari_fee"
"কোর্ট ফি লাগলে সেটা কত হতে পারে?","namjari_fee"
"নামজারি সংশোধনের জন্য ফি কত?","namjari_fee"
"নাম ঠিকানা পরিবর্তনে আলাদা ফি আছে?","namjari_fee"
"হারানো রসিদের ডুপ্লিকেট নিতে কি ফি লাগে?","namjari_fee"
"খতিয়ান কপি নিতে অতিরিক্ত কত টাকা দিতে হয়?","namjari_fee"
"পরিমাপ বা জরিপের জন্য কি বাড়তি ফি দিতে হবে?","namjari_fee"
"ই-চালান দিয়ে ফি কিভাবে জমা দেব?","namjari_fee"
"চালান নম্বর কবে এবং কোথায় দিতে হয়?","namjari_fee"
"ফি পেমেন্ট ভেরিফাই হতে কত সময় লাগে?","namjari_fee"
"ফি পেমেন্ট স্ট্যাটাস কোথায় চেক করব?","namjari_fee"
"মোবাইল থেকে ফি দেওয়া নিরাপদ তো?","namjari_fee"
"এজেন্ট ছাড়া নিজে দিলে ফি কি একই থাকে?","namjari_fee"
"সরকারি নির্ধারিত রেটলিস্ট কোথায় পাওয়া যাবে?","namjari_fee"
"সর্বশেষ নামজারি ফি আপডেট কবে হয়েছে?","namjari_fee"
"ডিসকাউন্ট বা ফি মওকুফের কোন বিধান আছে?","namjari_fee"
"মুক্তিযোদ্ধা পরিবার বা প্রতিবন্ধীদের জন্য ফি ছাড় আছে?","namjari_fee"
"নিম্ন আয়ের জন্য কি কনসেশনাল ফি আছে?","namjari_fee"
"প্রবাসী আবেদনকারীদের ফি কি আলাদা?","namjari_fee"
"বিদেশ থেকে ফি কিভাবে পরিশোধ করব?","namjari_fee"
"অন্য কারো হয়ে ফি জমা দিলে সমস্যা হবে?","namjari_fee"
"নামজারি বাতিল করে দিলে ফি কি ট্রান্সফার করা যাবে?","namjari_fee"
"এক দাগ থেকে আরেক দাগে নামজারি দিলে ফি কেমন হবে?","namjari_fee"
"দানপত্র বা উইলের ভিত্তিতে নামজারির ফি কত?","namjari_fee"
"গিফট ডিডে নামজারির সময় কি অতিরিক্ত ফি লাগে?","namjari_fee"
"এনওসি বা সনদের জন্য আলাদা ফি আছে নাকি?","namjari_fee"
"রেকর্ড রুমে সার্চ ফি কত পড়ে?","namjari_fee"
"আপিল করলে কি নতুন করে ফি দিতে হয়?","namjari_fee"
"পুনঃশুনানির জন্য ফি কত?","namjari_fee"
"অনলাইনে রিসিট না এলে কাকে জানাব?","namjari_fee"
"ফি মওকুফের আবেদন কিভাবে করব?","namjari_fee"
"রাজস্ব স্ট্যাম্প কত টাকার লাগবে?","namjari_fee"
"টোকেন মানি বা প্রসেসিং চার্জ কি বাধ্যতামূলক?","namjari_fee"
"সরকারি নির্ধারিত ফি ছাড়া অতিরিক্ত টাকা কেউ চাইলে কী করব?","namjari_fee"
"এজাজতনামা বা হলফনামার ফি কত?","namjari_fee"
"নামজারির কেস নাম্বার পেতে কি আগে ফি দিতে হবে?","namjari_fee"
"পুনরায় পেমেন্ট করতে হলে আগের ফি কি এডজাস্ট হবে?","namjari_fee"
"নামজারির ফি কি অনলাইন গেটওয়ে চার্জসহ ধরা হবে?","namjari_fee"
"সেবা কেন্দ্র থেকে ফি দিলে কি আলাদা সার্ভিস চার্জ লাগে?","namjari_fee"
