"question","tag"
"নামজারির জন্য নিবন্ধন করতে কি লাগে?","namjari_registration"
"নিবন্ধন করতে কি কি দরকার?","namjari_registration"
"নিবন্ধন করতে কি দলিল লাগে?","namjari_registration"
"নিবন্ধন করতে নিজের মোবাইল থাকতে হবে?","namjari_registration"
"নিবন্ধন করতে এনআইডি বা জন্মনিবন্ধন লাগে কি?","namjari_registration"
"নামজারি নিবন্ধন অনলাইনে কিভাবে করব?","namjari_registration"
"নামজারি করতে কোন ওয়েবসাইটে যেতে হবে?","namjari_registration"
"নামজারি রেজিস্ট্রেশন কি মোবাইল ফোন দিয়ে করা যায়?","namjari_registration"
"নিবন্ধনের সময় কোন কোন কাগজপত্র আপলোড করতে হয়?","namjari_registration"
"এনআইডি না থাকলে জন্মসনদ দিয়ে হবে কি?","namjari_registration"
"পাসপোর্ট দিয়ে নামজারি রেজিস্ট্রেশন করা যাবে?","namjari_registration"
"আবেদন ফরম কোথায় পাব?","namjari_registration"
"ফরম পূরণ করতে কার কার তথ্য লাগে?","namjari_registration"
"জমির দাগ ও খতিয়ান নম্বর না জানলে কি করা উচিত?","namjari_registration"
"দলিল নম্বর ও রেজিস্ট্রি কপি বাধ্যতামূলক নাকি?","namjari_registration"
"খাজনা দাখিলার কপি লাগবে কি?","namjari_registration"
"সার্ভে ম্যাপ বা পর্চা স্ক্যান করে দিতে হবে?","namjari_registration"
"আবেদন করতে কত টাকা ফি লাগে?","namjari_registration"
"ফি কি বিকাশ/নগদ/কার্ডে দেওয়া যায়?","namjari_registration"
"ট্রেজারি চালান কিভাবে জেনারেট করব?","namjari_registration"
"পেমেন্টের রসিদ না এলে কি করব?","namjari_registration"
"রেজিস্ট্রেশন করতে OTP না এলে সমাধান কী?","namjari_registration"
"নিবন্ধনের জন্য ইমেইল দরকার নাকি শুধু মোবাইলই যথেষ্ট?","namjari_registration"
"ছবি ও সিগনেচার আপলোডের সাইজ কত রাখতে হবে?","namjari_registration"
"বায়োমেট্রিক বা আঙুলের ছাপ লাগে কি?","namjari_registration"
"সাক্ষী দিতে হয় নাকি শুধু কাগজই যথেষ্ট?","namjari_registration"
"অফিসে সরাসরি গেলে কি কি ডকুমেন্ট নিতে হবে?","namjari_registration"
"কোন অফিসে গিয়ে নামজারি আবেদন জমা দিতে পারি?","namjari_registration"
"অফিসের সময়সূচি ও সাপ্তাহিক ছুটি কবে?","namjari_registration"
"আগে থেকে টোকেন বা সিরিয়াল নিতে হয় নাকি সরাসরি যাওয়া যায়?","namjari_registration"
"অনলাইন আবেদন করলে কবে সাক্ষাৎকারে ডাক দেয়?","namjari_registration"
"আবেদন সাবমিট করার পর স্ট্যাটাস কিভাবে দেখব?","namjari_registration"
"এসএমএস বা ইমেইল নোটিফিকেশন না এলে কি করতে হবে?","namjari_registration"
"আবেদন নম্বর হারিয়ে গেলে পুনরুদ্ধার কিভাবে করব?","namjari_registration"
